,Category,Category FR,Cluster,Cluster FR,Count,Link,Original,Product,Source,Weight
10,Wall Decor,Wall Decor,indoor plant,indoor plant,152.0,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.huffpostbrasil.com%2Fentry%2Findoor-plants-air-purifying-remove-toxins_l_5cab6e5fe4b02e7a705b9c92&psig=AOvVaw26-BU8RkimkZeooTTbsHIB&ust=1584010968019000&source=images&cd=vfe&ved=0CAIQjRxqFwoTCPjt4eqikugCFQAAAAAdAAAAABAF,Indoor Plants,indoor plant,Trendy,1
0,Wall Decor,Wall Decor,wall decor home art,wall decor home art,148.0,https://s.alicdn.com/@sc01/kf/H16adb2b2ae8e4d5aa48823ee4216aa049.jpg_300x300.jpg,Wall Decor Home Art,decor art wall,alibaba,1
2,Wall Decor,Wall Decor,ip length mirror full,ip length mirror full,6.0,https://i5.walmartimages.com/asr/5ea0d776-6886-43a0-98cd-a13c9f9a4b1a_1.b90480381e6b2a53e708b4b82344f771.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Length Mirror Full,ip length mirror full,walmart,1
3,Wall Decor,Wall Decor,6 mainstay black ip,6 mainstay black ip,6.0,https://i5.walmartimages.com/asr/2c732648-e13f-44d6-a96a-933b4e3bd90d_1.ac468677a96dce033d1770940204e97e.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,6 Mainstay Black Ip,6 mainstay black ip,walmart,1
4,Wall Decor,Wall Decor,cm rack x 5,cm rack x 5,6.0,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw9cf759b9/product/13080008_01_001_01.jpg?sw=245&sh=279&sm=fit,Cm Rack X 5,cm rack x 5,hema,1
5,Wall Decor,Wall Decor,sticker wall,sticker wall,4.0,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dwad09cc20/product/15921033_01_001_01.jpg?sw=245&sh=279&sm=fit,Sticker Wall,sticker wall,hema,1
6,Wall Decor,Wall Decor,ip industrial 3 tier floating shelf towel 36 453015826,ip industrial 3 tier floating shelf towel 36 453015826,3.0,https://i5.walmartimages.com/asr/5e684f92-a68b-4d26-996f-7e265681cab2_2.aa13d8fb59cca7a114788c05b5f463b1.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Industrial 3 Tier Floating Shelf Towel 36 453015826,ip industrial 3 tier floating shelf towel 36 453015826,walmart,1
7,Wall Decor,Wall Decor,ip better home garden farmhouse plank galvanized finish wall clock 740716015,ip better home garden farmhouse plank galvanized finish wall clock 740716015,3.0,https://i5.walmartimages.com/asr/8b6cdb9b-1dee-472f-b0e2-1c2655e040b2_1.29cbee34301af5045c3ad3333deadd90.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Better Home Garden Farmhouse Plank Galvanized Finish Wall Clock 740716015,ip better home garden farmhouse plank galvanized finish wall clock 740716015,walmart,1
8,Wall Decor,Wall Decor,ip modrn multi colored canva print 476608425,ip modrn multi colored canva print 476608425,3.0,https://i5.walmartimages.com/asr/279455ca-7028-4ff5-87a8-783024811dcb_3.6e24fbfe15be993405ea6419efc93b0d.jpeg?odnHeight=200&odnWidth=200&odnBg=ffffff,Ip Modrn Multi Colored Canva Print 476608425,ip modrn multi colored canva print 476608425,walmart,1
9,Wall Decor,Wall Decor,hydrangea strip wrought 2,hydrangea strip wrought 2,3.0,https://m.media-amazon.com/images/I/711ZkEH1DwL._AC_UL320_ML3_.jpg,Hydrangea Strip Wrought 2,hydrangea strip wrought 2,amazon,1
11,Umbrella,Umbrella,umbrella fabric ip foldable,umbrella fabric ip foldable,126.0,https://s.alicdn.com/@sc01/kf/HTB1jfviakY2gK0jSZFgq6A5OFXas.jpg_300x300.jpg,Umbrella Fabric Ip Foldable,umbrella fabric ip foldable,alibaba,1
13,Umbrella,Umbrella,none,none,9.0,https://s.alicdn.com/@sc01/kf/H2903d83abcd84e3fb90a68a831c87037w.jpg_300x300.jpg,None,none,alibaba,1
12,Umbrella,Umbrella,high poplin cotton quality,high poplin cotton quality,4.0,https://i.etsystatic.com/13705158/d/il/fa6ffc/1264890270/il_340x270.1264890270_1dlm.jpg?version=0,High Poplin Cotton Quality,high poplin cotton quality,etsy,1
14,Umbrella,Umbrella,aka sorority gift alpha kappa alpha personalized rain umbrella aka favor aka gift zeta delta sigma theta sorority paraphernalia,aka sorority gift alpha kappa alpha personalized rain umbrella aka favor aka gift zeta delta sigma theta sorority paraphernalia,1.0,https://i.etsystatic.com/9823975/d/il/81de5b/2088589490/il_340x270.2088589490_3oew.jpg?version=0,Aka Sorority Gift Alpha Kappa Alpha Personalized Rain Umbrella Aka Favor Aka Gift Zeta Delta Sigma Theta Sorority Paraphernalia,aka sorority gift alpha kappa alpha personalized rain umbrella aka favor aka gift zeta delta sigma theta sorority paraphernalia,etsy,1
15,Umbrella,Umbrella,cosmopolitan sun parasol white white,cosmopolitan sun parasol white white,1.0,https://i.etsystatic.com/10031936/d/il/a812fb/1554255613/il_340x270.1554255613_p3sk.jpg?version=0,Cosmopolitan Sun Parasol White White,cosmopolitan sun parasol white white,etsy,1
16,Umbrella,Umbrella,battenburg lace parasol wedding accessory summer parasol vintage pink ivory photo prop picnic beach parasol,battenburg lace parasol wedding accessory summer parasol vintage pink ivory photo prop picnic beach parasol,1.0,https://i.etsystatic.com/9958748/c/500/397/0/19/il/98ba7d/1965215080/il_340x270.1965215080_bwe6.jpg,Battenburg Lace Parasol Wedding Accessory Summer Parasol Vintage Pink Ivory Photo Prop Picnic Beach Parasol,battenburg lace parasol wedding accessory summer parasol vintage pink ivory photo prop picnic beach parasol,etsy,1
17,Umbrella,Umbrella,wooden button decorated button umbrella button scrapbooking button 10 piece,wooden button decorated button umbrella button scrapbooking button 10 piece,1.0,https://i.etsystatic.com/15535174/d/il/e7d531/1264402748/il_340x270.1264402748_eqm7.jpg?version=0,Wooden Button Decorated Button Umbrella Button Scrapbooking Button 10 Piece,wooden button decorated button umbrella button scrapbooking button 10 piece,etsy,1
24,Travel Accessories,Travel Accessories,baggage organizer,baggage organizer,156.0,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dw0b6caddd/product/18600129_01_001_01.jpg?sw=245&sh=279&sm=fit,Baggage Organizer,organizer,hema,1
29,Travel Accessories,Travel Accessories,fly fishing quick knot tool,fly fishing quick knot tool,152.0,https://www.cloudways.com/blog/wp-content/uploads/Fishing-Quick-Knot-Tool.jpg,Fly Fishing Quick Knot Tool,fishing,Trendy,1
32,Travel Accessories,Travel Accessories,hooded raincoat,hooded raincoat,152.0,https://www.cloudways.com/blog/wp-content/uploads/image6-152-298x300.png,Hooded Raincoats,hooded raincoat,Trendy,1
34,Travel Accessories,Travel Accessories,luggage suitcase,luggage suitcase,152.0,https://alidropship.com/wp-content/uploads/2020/01/dropship-luggage-suitcase-min-768x476.jpg,Luggage Suitcase,luggage,Trendy,1
38,Travel Accessories,Travel Accessories,trail shoe,trail shoe,152.0,https://108658-309052-raikfcquaxqncofqfm.stackpathdns.com//wp-content/uploads/2019/07/Hiking-shoes.jpeg,Trail Shoes,trail shoe,Trendy,1
42,Travel Accessories,Travel Accessories,pocket language translator,pocket language translator,152.0,https://www.cloudways.com/blog/wp-content/uploads/pocket-language-translator.png,Pocket Language Translators,pocket language translator,Trendy,1
44,Travel Accessories,Travel Accessories,alarm keychain,alarm keychain,152.0,https://alidropship.com/wp-content/uploads/2019/09/48-self-defense-alarm.png,Alarm Keychain,alarm keychain,Trendy,1
18,Travel Accessories,Travel Accessories,travel bag accessor gift,travel bag accessor gift,105.0,https://s.alicdn.com/@sc01/kf/HTB1JXDjXyDxK1Rjy1zcq6yGeXXaj.jpg_300x300.jpg,Travel Bag Accessor Gift,bag travel,alibaba,1
27,Travel Accessories,Travel Accessories,pillow,pillow,83.0,https://i.etsystatic.com/7139516/d/il/d82633/2149910577/il_340x270.2149910577_ihrz.jpg?version=0,Pillow,pillow,etsy,1
31,Travel Accessories,Travel Accessories,minimalist wallet,minimalist wallet,76.0,https://www.cloudways.com/blog/wp-content/uploads/image9-105-300x300.png,Minimalist Wallets,minimalist wallet,Trendy,1
